California Department of Finance,,,,,,,,,,,,,,,,,,,,Census 2010,,
Demographic Research Unit,,,,,,,,,,,,,,,,,,,,Demographic Profile Summary File,,
State Census Data Center,,,,,,,,,,,,,,,,,,,,Generated on 8-17-2012,,
Phone:  916-323-4086,,,,,,,,,,,,,,,,,,,,,,
"Table 3a: Race Detail (Hispanic Inclusive),  April 1, 2010",,,,,,,,,,,,,,,,,,,,,,
School Districts in California,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
  Geography,Total Population,Total Population of One Race,,,,Asian,,,,,,,,Native Hawaiian and Other Pacific Islander (NHOPI),,,,,,Total Population of Two or More Races,,
,,,White,Black or African American,American Indian and Alaska Native,Total Asian,Asian Indian,Chinese,Filipino,Japanese,Korean,Vietnamese,Other Asian,Total NHOPI,Native Hawaiian,Guamanian or Chamorro,Samoan,Other Pacific Islander,Some Other Race,,,Geoid
California ,"37,253,956","35,438,572","21,453,934","2,299,072","362,801","4,861,007","528,176","1,253,102","1,195,580","272,528","451,892","581,946","577,783","144,386","21,423","24,299","40,900","57,764","6,317,372","1,815,384",,04006
,,,,,,,,,,,,,,,,,,,,,,
ABC Unified School District,"106,087","101,839","34,608","6,993",616,"45,165","5,519","9,381","12,455","1,764","10,437","1,425","4,184",476,86,110,213,67,"13,981","4,248",,9700601620
Acalanes Union High School District,"108,128","103,528","87,913","1,494",229,"11,837","1,403","5,302","1,544","1,173","1,122",274,"1,019",176,41,28,15,92,"1,879","4,600",,9600601650
Ackerman Elementary School District,"2,538","2,453","2,260",35,28,51,0,12,18,10,6,0,5,6,3,0,2,1,73,85,,9500601680
Acton-Agua Dulce Unified School District,"12,609","12,154","10,612",228,122,248,26,19,108,24,50,1,20,13,5,3,2,3,931,455,,9700600001
Adelanto Elementary School District,"56,751","53,455","25,936","11,030",859,"1,809",159,122,818,61,168,203,278,329,69,75,101,84,"13,492","3,296",,9500601710
Alameda City Unified School District,"73,812","68,547","37,460","4,759",426,"23,058",793,"10,636","5,419",836,"1,496","2,041","1,837",381,77,129,86,89,"2,463","5,265",,9700601770
Albany City Unified School District,"18,549","17,305","10,135",648,88,"5,790",340,"2,933",219,557,"1,042",87,612,37,13,4,4,16,607,"1,244",,9700601860
Alexander Valley Union Elementary School District,871,860,709,3,8,1,0,0,0,1,0,0,0,0,0,0,0,0,139,11,,9500601890
Alhambra Unified (9-12) School District,"53,116","51,990","9,426",218,282,"34,733",126,"22,636",641,801,149,"6,716","3,664",35,14,8,5,8,"7,296","1,126",,9600606037
Alhambra Unified School District,"116,238","112,453","28,673","1,417",638,"68,404",552,"49,138","2,709","3,225","1,408","5,472","5,900",94,37,18,25,14,"13,227","3,785",,9700600153
Alisal Union Elementary School District,"57,280","54,795","23,749",828,659,"2,587",148,173,"1,819",127,113,105,102,131,8,45,19,59,"26,841","2,485",,9500601950
Allensworth Elementary School District,476,472,158,22,0,8,0,0,8,0,0,0,0,0,0,0,0,0,284,4,,9500601980
Alpaugh Unified School District,"1,343","1,308",539,24,12,10,0,0,8,1,1,0,0,0,0,0,0,0,723,35,,9700602010
Alpine County Unified School District,"1,175","1,147",881,0,240,7,0,3,1,1,0,1,1,0,0,0,0,0,19,28,,9700602070
Alpine Union Elementary School District,"18,266","17,635","15,733",192,553,373,37,30,184,49,12,22,39,51,6,20,12,13,733,631,,9500602100
Alta Loma Elementary School District,"54,357","51,464","39,057","3,392",313,"3,848",447,833,978,209,546,206,629,125,38,6,32,49,"4,729","2,893",,9500602160
Alta Vista Elementary School District,"3,061","2,952","1,763",43,58,72,0,1,6,0,0,0,65,47,0,0,1,46,969,109,,9500602220
Alta-Dutch Flat Union Elementary School District,"1,787","1,732","1,665",1,25,12,2,4,3,1,1,1,0,1,1,0,0,0,28,55,,9500602250
Alum Rock Union Elementary School District,"110,168","105,130","35,508","2,695","1,329","29,631","1,640","2,534","9,717",309,231,"12,828","2,372",568,40,62,286,180,"35,399","5,038",,9500602310
Alview-Dairyland Union Elementary School District,"1,787","1,719","1,125",17,21,21,10,1,7,3,0,0,0,2,1,0,0,1,533,68,,9500602360
Alvina Elementary School District,647,601,301,3,35,68,48,6,2,10,0,0,2,0,0,0,0,0,194,46,,9500602370
Alvord Unified School District,"104,898","99,882","55,071","5,930","1,227","7,771",808,611,"2,581",218,735,"1,753","1,065",524,84,82,191,167,"29,359","5,016",,9700602430
Amador County Unified School District,"38,091","36,735","33,149",962,678,419,35,65,136,59,31,31,62,77,31,10,9,27,"1,450","1,356",,9700602450
American Union Elementary School District,"2,122","2,055","1,349",39,47,146,40,5,15,22,0,0,64,1,0,0,1,0,473,67,,9500602550
Anaheim Elementary School District,"196,615","188,364","98,076","4,837","1,642","23,929","1,374","2,137","5,960",788,"2,627","8,420","2,623",828,144,86,358,240,"59,052","8,251",,9500602610
Anaheim Union High School District,"386,606","369,174","189,924","11,581","3,237","73,644","5,488","6,813","18,505","3,296","14,785","18,070","6,687","2,128",298,318,932,580,"88,660","17,432",,9600602630
Anderson Union High School District,"38,366","36,739","33,439",182,"1,213",735,88,36,105,54,33,23,396,59,27,12,8,12,"1,111","1,627",,9600602700
Anderson Valley Unified School District,"2,961","2,886","1,941",16,52,14,1,1,6,0,0,1,5,2,0,0,2,0,861,75,,9700602730
Antelope Elementary School District,"4,397","4,220","3,823",24,70,59,31,6,16,0,1,0,5,3,1,0,0,2,241,177,,9500602760
Antelope Valley Union High School District,"373,523","354,022","196,258","59,082","3,624","14,645","1,374","1,169","7,288",664,"1,353",978,"1,819",821,229,233,154,205,"79,592","19,501",,9600602820
Antioch Unified School District,"107,036","98,840","53,421","18,015",927,"10,636",971,"1,387","5,763",224,215,721,"1,355",842,82,143,216,401,"14,999","8,196",,9700602850
Apple Valley Unified School District,"77,693","73,726","54,593","6,616",879,"2,140",274,216,789,164,349,125,223,306,79,50,144,33,"9,192","3,967",,9700600017
Arcadia Unified School District,"57,771","56,172","18,574",691,158,"34,398","1,398","25,798","1,067",909,"1,978",867,"2,381",13,3,2,2,6,"2,338","1,599",,9700602970
Arcata Elementary School District,"14,544","13,589","11,875",311,323,368,18,119,45,57,27,21,81,33,15,5,7,6,679,955,,9500603000
